ndx:	HR:MN:SC:1/128s:	x:	y:	z:	unit factor			x:	y:	z:
0	00:00:00:124	1	1	219	0,003977574			0,003977574	0,003977574	0,871088685
1	00:00:00:125	3	0	254				0,011932722	0	1,010303772
2	00:00:00:125	3	-1	256				0,011932722	-0,003977574	1,018258919
3	00:00:00:125	1	1	252				0,003977574	0,003977574	1,002348624
4	00:00:00:125	2	0	252				0,007955148	0	1,002348624
5	00:00:00:125	2	0	253				0,007955148	0	1,006326198
6	00:00:00:125	0	0	253				0	0	1,006326198
7	00:00:00:125	-1	-4	252				-0,003977574	-0,015910296	1,002348624
8	00:00:00:125	3	1	249				0,011932722	0,003977574	0,990415902
9	00:00:00:125	-2	1	247				-0,007955148	0,003977574	0,982460754
10	00:00:00:125	-3	1	249				-0,011932722	0,003977574	0,990415902
11	00:00:00:125	-1	1	252				-0,003977574	0,003977574	1,002348624
12	00:00:00:125	-7	4	261				-0,027843017	0,015910296	1,038146789
13	00:00:00:125	-2	4	248				-0,007955148	0,015910296	0,986438328
14	00:00:00:125	-4	4	252				-0,015910296	0,015910296	1,002348624
15	00:00:00:125	-1	4	250				-0,003977574	0,015910296	0,994393476
16	00:00:00:125	-3	2	251				-0,011932722	0,007955148	0,99837105
17	00:00:00:125	-6	4	252				-0,023865443	0,015910296	1,002348624
18	00:00:00:126	-7	3	253				-0,027843017	0,011932722	1,006326198
19	00:00:00:126	-7	2	250				-0,027843017	0,007955148	0,994393476
20	00:00:00:126	-12	4	252				-0,047730887	0,015910296	1,002348624
21	00:00:00:126	-6	3	254				-0,023865443	0,011932722	1,010303772
22	00:00:00:126	-8	5	248				-0,031820591	0,01988787	0,986438328
23	00:00:00:126	-8	8	251				-0,031820591	0,031820591	0,99837105
24	00:00:00:126	-7	7	248				-0,027843017	0,027843017	0,986438328
25	00:00:00:126	-11	3	246				-0,043753313	0,011932722	0,97848318
26	00:00:00:126	-11	5	257				-0,043753313	0,01988787	1,022236493
27	00:00:00:126	-9	2	252				-0,035798165	0,007955148	1,002348624
28	00:00:00:126	-9	2	251				-0,035798165	0,007955148	0,99837105
29	00:00:00:126	-8	5	253				-0,031820591	0,01988787	1,006326198
30	00:00:00:126	-2	5	246				-0,007955148	0,01988787	0,97848318
31	00:00:00:126	-5	4	247				-0,01988787	0,015910296	0,982460754
32	00:00:00:126	-2	3	245				-0,007955148	0,011932722	0,974505607
33	00:00:00:126	2	4	250				0,007955148	0,015910296	0,994393476
34	00:00:00:126	-2	1	248				-0,007955148	0,003977574	0,986438328
35	00:00:00:127	0	0	250				0	0	0,994393476
36	00:00:00:127	0	0	252				0	0	1,002348624
37	00:00:00:127	-3	1	251				-0,011932722	0,003977574	0,99837105
38	00:00:00:127	-4	2	254				-0,015910296	0,007955148	1,010303772
39	00:00:00:127	0	2	250				0	0,007955148	0,994393476
