ndx:	HR:MN:SC:1/128s:	x:	y:	z:	unit factor			x:	y:	z:	modulus			
0	00:00:01:000	17	5	223	0,003977574			0,067618756	0,01988787	0,886998981	0,889794929			
1	00:00:01:001	20	7	250				0,079551478	0,027843017	0,994393476	0,997958945			
2	00:00:01:001	18	4	249				0,07159633	0,015910296	0,990415902	0,993127802			
3	00:00:01:001	18	6	255				0,07159633	0,023865443	1,014281346	1,017085169			
4	00:00:01:001	20	7	255				0,079551478	0,027843017	1,014281346	1,017777146			
5	00:00:01:001	19	3	250				0,075573904	0,011932722	0,994393476	0,997332537			
6	00:00:01:001	16	7	251				0,063641182	0,027843017	0,99837105	1,000784786			
7	00:00:01:001	21	6	251				0,083529052	0,023865443	0,99837105	1,002143411			
8	00:00:01:001	18	7	249				0,07159633	0,027843017	0,990415902	0,993390622			
9	00:00:01:001	18	6	254				0,07159633	0,023865443	1,010303772	1,013118604			
10	00:00:01:001	17	4	254				0,067618756	0,015910296	1,010303772	1,012689066			
11	00:00:01:001	17	4	251				0,067618756	0,015910296	0,99837105	1,000784786			
12	00:00:01:001	22	2	255				0,087506626	0,007955148	1,014281346	1,018080224			
13	00:00:01:001	18	9	248				0,07159633	0,035798165	0,986438328	0,989680817			
14	00:00:01:001	20	4	252				0,079551478	0,015910296	1,002348624	1,005626342			
15	00:00:01:001	17	5	251				0,067618756	0,01988787	0,99837105	1,000855922			
16	00:00:01:001	18	8	250				0,07159633	0,031820591	0,994393476	0,997475298			
17	00:00:01:002	20	7	249				0,079551478	0,027843017	0,990415902	0,993995639			
18	00:00:01:002	18	4	253				0,07159633	0,015910296	1,006326198	1,008995336			
19	00:00:01:002	16	5	253				0,063641182	0,01988787	1,006326198	1,008532669			
20	00:00:01:002	20	5	253				0,079551478	0,01988787	1,006326198	1,009661518			
21	00:00:01:002	18	5	250				0,07159633	0,01988787	0,994393476	0,997165958			
22	00:00:01:002	18	7	253				0,07159633	0,027843017	1,006326198	1,009254024			
23	00:00:01:003	16	7	253				0,063641182	0,027843017	1,006326198	1,008720898			
24	00:00:01:003	18	7	252				0,07159633	0,027843017	1,002348624	1,005288034			
25	00:00:01:003	24	6	250				0,095461774	0,023865443	0,994393476	0,999250166			
26	00:00:01:003	19	7	255				0,075573904	0,027843017	1,014281346	1,017473978			
27	00:00:01:003	16	4	252				0,063641182	0,015910296	1,002348624	1,004492957			
28	00:00:01:003	20	5	250				0,079551478	0,01988787	0,994393476	0,997768686			
29	00:00:01:003	19	8	254				0,075573904	0,031820591	1,010303772	1,013626004			
30	00:00:01:003	20	6	252				0,079551478	0,023865443	1,002348624	1,005783655			
31	00:00:01:003	19	6	250				0,075573904	0,023865443	0,994393476	0,99754667			
32	00:00:01:003	19	6	250				0,075573904	0,023865443	0,994393476	0,99754667			
33	00:00:01:003	23	4	252				0,0914842	0,015910296	1,002348624	1,006640581			
34	00:00:01:003	22	6	251				0,087506626	0,023865443	0,99837105	1,002482779			
35	00:00:01:004	19	6	252				0,075573904	0,023865443	1,002348624	1,005476871		251,3475783	0,999753569
36	00:00:01:004	20	6	251				0,079551478	0,023865443	0,99837105	1,00181972			
37	00:00:01:004	17	8	254				0,067618756	0,031820591	1,010303772	1,013063945			
38	00:00:01:004	20	7	253				0,079551478	0,027843017	1,006326198	1,009849537			
39	00:00:01:004	20	3	253				0,079551478	0,011932722	1,006326198	1,009536153			
40	00:00:01:004	17	4	252				0,067618756	0,015910296	1,002348624	1,004752804			
